TYPE,PLANETS,GREEK,ENGLISH,SENTIMENT
single,Sun,βασιλείαν,kingship,good
single,Sun,ἡγεμονίαν,rule,good
single,Sun,νοῦν,intellect,good
single,Sun,φρόνησιν,intelligence,good
single,Sun,μορφήν,beauty,good
single,Sun,κίνησιν,motion,neutral
single,Sun,ὕψος τύχης,loftiness of fortune,good
single,Sun,θεῶν χρηματισμόν,ordinance of gods,good
single,Sun,κρίσιν,judgement,good
single,Sun,δημοσίωσιν,public reputation,good
single,Sun,πρᾶξιν,action,good
single,Sun,προστασίαν ὀχλικήν,authority over masses,good
single,Sun,πατέρα,father,neutral
single,Sun,δεσπότην,master,neutral
single,Sun,φιλίαν,friendship,good
single,Sun,ἔνδοξα πρόσωπα,noble people,good
single,Sun,τιμὰς εἰκόνων,honours of pictures,good
single,Sun,τιμὰς ἀνδριάντων,honours of statues,good
single,Sun,τιμὰς στεμμάτων,honours of garlands,good
single,Sun,ἀρχιερατείας,high priesthoods,good
single,Sun,πατρίδος,[rule over] homeland,good
single,Sun,κεφαλῆς,head,neutral
single,Sun,ὀφθαλμοῦ δεξιοῦ,right eye,neutral
single,Sun,καρδίας,heart,neutral
single,Sun,νεύρων,nerves,neutral
single,Sun,χρυσοῦ,gold,neutral
single,Sun,σίτου καὶ κριθῶν,wheat and barley,neutral
single,Sun,ἠμερινῆς,diurnal,neutral
single,Sun,κίτρινος,yellow,neutral
single,Sun,δριμύς,bitter,neutral
single,Moon,ζωήν,life,neutral
single,Moon,σῶμα,body,neutral
single,Moon,μητέρα,mother,good
single,Moon,σύλληψιν,conception,neutral
single,Moon,μορφήν,beauty,good
single,Moon,πρόσωπον,appearance,neutral
single,Moon,θεάν,sight,neutral
single,Moon,συμβίωσιν ἤτοι γάμον νομικόν,living together and legal marriage,good
single,Moon,τροφόν,nurture,good
single,Moon,ἀδελφὸν μείζονα,older brother,neutral
single,Moon,οἰκουρίαν,housekeeping,good
single,Moon,βασίλισσαν,queen,good
single,Moon,δέσποιναν,mistress,neutral
single,Moon,χρήματα,possessions,good
single,Moon,τύχην,fortune,good
single,Moon,πόλιν,city,good
single,Moon,ὄχλων συστροφήν,assembly of people,neutral
single,Moon,λήμματα,gains,good
single,Moon,ἀναλώματα,expenses,bad
single,Moon,οἰκίαν,household,good
single,Moon,πλοῖα,voyages,neutral
single,Moon,ξενιτείας,travel,neutral
single,Moon,πλάνας,wanderings,neutral
single,Moon,ὀφθαλμοῦ ἀριστεροῦ,left eye,neutral
single,Moon,στομάχου,stomach,neutral
single,Moon,μαζῶν,breasts,neutral
single,Moon,φύσης,breath,neutral
single,Moon,σπληνός,spleen,neutral
single,Moon,μηνίγγων,membrane around brain / spinal cord,neutral
single,Moon,μυελοῦ,marrow,neutral
single,Moon,ὑδρωπικοὺς,dropsy,bad
single,Moon,ἀσήμου,silver,neutral
single,Moon,ὑέλου,glass,neutral
single,Moon,νυκτερινῆς,nocturnal,neutral
single,Moon,πράσινος,green,neutral
single,Moon,ἁλμυρά,salty,neutral
single,Saturn,μικρολόγους,petty,bad
single,Saturn,βασκάνους,malignant,bad
single,Saturn,πολυμερίμνους,care-worn,bad
single,Saturn,ἑαυτοὺς καταρρίπτοντας,self-depreciating,bad
single,Saturn,μονοτρόπους,solitary,bad
single,Saturn,τυφώδεις,deceitful,bad
single,Saturn,ἀποκρύπτοντας τὴν δολιότητα,secretive in trickery,bad
single,Saturn,αὐστηρούς,strict,neutral
single,Saturn,κατανενευκότας,downcast,bad
single,Saturn,ὑποκρινομένην τὴν ὅρασιν,hypocritical air,bad
single,Saturn,αὐχμηρούς,squalid,bad
single,Saturn,μελανοείμονας,Black-clad,bad
single,Saturn,προσαιτητικούς,dogged,bad
single,Saturn,καταστύγνους,Sad-looking,bad
single,Saturn,κακοπαθεῖς,miserable,bad
single,Saturn,πλευστικούς,nautical,neutral
single,Saturn,πάρυγρα πράσσοντας,waterside trades,neutral
single,Saturn,ταπεινότητας,humblings,bad
single,Saturn,νωχελίας,sluggishness,bad
single,Saturn,ἀπραξίας,unemployment,bad
single,Saturn,ἐγκοπὰς τῶν πρασσομένων,obstacles in business,bad
single,Saturn,πολυχρονίους δίκας,interminable lawsuits,bad
single,Saturn,ἀνασκευὰς πραγμάτων,subversion of business,bad
single,Saturn,κρυβάς,secrets,bad
single,Saturn,συνοχάς,imprisonment,bad
single,Saturn,δεσμά,chains,bad
single,Saturn,πένθη,grief,bad
single,Saturn,κατιτιασμούς,accusations,bad
single,Saturn,δάκρυα,tears,bad
single,Saturn,ὀρφανίας,bereavement,bad
single,Saturn,αἰχμαλωσίας,capture,bad
single,Saturn,ἐκθέσεις,exposures of children,bad
single,Saturn,γεηπόνους,serfs,neutral
single,Saturn,γεωργοὺς,farmers,neutral
single,Saturn,μισθωτάς κτημάτων,renters of property,neutral
single,Saturn,τελώνας,tax farmers,neutral
single,Saturn,βιαίους πράξεις,violent in action,bad
single,Saturn,δόξας μεγάλας,great ranks,good
single,Saturn,τάξεις ἐπισήμους,distinguished positions,good
single,Saturn,ἐπιτροπείας,supervisions,good
single,Saturn,ἀλλοτρίων διοικητὰς,management of others' property,good
single,Saturn,ἀλλοτρίων τέκνων πατέρας,fathership of others' children,neutral
single,Saturn,μολύβδου,lead,neutral
single,Saturn,ξύλων,wood,neutral
single,Saturn,λίθων,stone,neutral
single,Saturn,σκελῶν,legs,neutral
single,Saturn,γονάτων,knees,neutral
single,Saturn,νεύρων,tendons,neutral
single,Saturn,ἰχώρων,lymph,neutral
single,Saturn,φλέγματος,phlegm,neutral
single,Saturn,κύστεως,bladder,neutral
single,Saturn,νεφρῶν καὶ τῶν ἐντὸς ἀποκρύφων,kidneys and other internal organs,neutral
single,Saturn,σινῶν ἐκ ψύξεως καὶ ὑγρότητος,injuries from cold and moisture,bad
single,Saturn,ὑδρωπικῶν,dropsy,bad
single,Saturn,νεύρων ἀλγηδόνων,neuralgia,bad
single,Saturn,ποδάγρας,gout,bad
single,Saturn,βηχός,cough,bad
single,Saturn,δυσεντερίας,dysentry,bad
single,Saturn,κηλῶν,hernia,bad
single,Saturn,σπασμῶν,spasms,bad
single,Saturn,δαιμονισμοῦ,possession,bad
single,Saturn,κιναιδίας,homosexuality,bad
single,Saturn,ἀκαθαρσίας,depravity,bad
single,Saturn,ἀγάμους,bachelors,bad
single,Saturn,χηρείας,widows,bad
single,Saturn,ὀρφανίας,bereavements,bad
single,Saturn,ἀτεκνίας,childlessness,bad
single,Saturn,θανάτους βιαίους ἐν ὕδατι,violent deaths by water,bad
single,Saturn,θανάτους βιαίους δι᾽ ἀγχόνης,violent deaths by strangulation,bad
single,Saturn,θανάτους βιαίους δια δεσμῶν,violent deaths by imprisonment,bad
single,Saturn,θανάτους βιαίους δια δυσεντερίας,violent deaths by dysentry,bad
single,Saturn,πτώσεις ἐπὶ στόμα,falling on the face,bad
single,Saturn,ἡμερινῆς,diurnal,neutral
single,Saturn,καστορίζων,Castor-coloured (dark red?),neutral
single,Saturn,στυφός,astringent,neutral
single,Jupiter,τέκνωσιν,childbearing,neutral
single,Jupiter,γονήν,engendering,neutral
single,Jupiter,ἐπιθυμίαν,desire,neutral
single,Jupiter,ἔρωτας,loves,neutral
single,Jupiter,συστάσεις,political ties,good
single,Jupiter,γνώσεις,acquaintance,good
single,Jupiter,φιλίας μεγάλων ἀνδρῶν,friendships with great men,good
single,Jupiter,εὐπορίας,prosperity,good
single,Jupiter,ὀψώνια,salaries,good
single,Jupiter,δωρεὰς μεγάλας,great gifts,good
single,Jupiter,καρπῶν εὐφορίας,abundance of crops,good
single,Jupiter,δικαιοσύνην,justice,good
single,Jupiter,ἀρχάς,offices,good
single,Jupiter,πολιτείας,officeholding,good
single,Jupiter,δόξας,ranks,good
single,Jupiter,προστασίας ἱερῶν,authority over temples,good
single,Jupiter,μεσιτείας κρίσεων,arbitrations,neutral
single,Jupiter,πίστεις,trusts,good
single,Jupiter,κληρονομίας,inheritance,good
single,Jupiter,ἀδελφότητα,brotherhood,good
single,Jupiter,κοινωνίαν,fellowship,good
single,Jupiter,εὐποίησιν,beneficence,good
single,Jupiter,ἀγαθῶν βεβαίωσιν,secure possession of goods,good
single,Jupiter,κακῶν ἀπαλλαγήν,relief from troubles,good
single,Jupiter,δεσμῶν λύσιν,release from bonds,good
single,Jupiter,ἐλευθερίαν,freedom,good
single,Jupiter,παρακαταθήκην,deposits in trust,good
single,Jupiter,χρήματα,money,good
single,Jupiter,οἰκονομίας,stewardships,good
single,Jupiter,μηρῶν,thighs,neutral
single,Jupiter,ποδῶν,feet,neutral
single,Jupiter,σπορᾶς,sperm,neutral
single,Jupiter,μήτρας,uterus,neutral
single,Jupiter,ἥπατος,liver,neutral
single,Jupiter,δεξιῶν μερῶν,right side,neutral
single,Jupiter,ὀδόντων,teeth,neutral
single,Jupiter,κασσιτέρου,tin,neutral
single,Jupiter,ἡμερινῆς,diurnal,neutral
single,Jupiter,φαιὸς καὶ μᾶλλον λευκός,greyish white,neutral
single,Jupiter,γλυκύς,sweet,neutral
single,Mars,βίας,force,neutral
single,Mars,πολέμους,wars,neutral
single,Mars,ἁρπαγάς,plunderings,bad
single,Mars,κραυγάς,screams,bad
single,Mars,ὕβρεις,violence,bad
single,Mars,μοιχείας,adultery,bad
single,Mars,ἀφαιρέσεις ὑπαρχόντων,loss of property,bad
single,Mars,ἐκπτώσεις,banishment,bad
single,Mars,φυγαδείας,exile,bad
single,Mars,γονέων ἀπαλλοτριώσεις,alienation from parents,bad
single,Mars,αἰχμαλωσίας,capture,bad
single,Mars,φθορὰς γυναικῶν,deaths of women,bad
single,Mars,ἐμβρυοτομίας,abortions,bad
single,Mars,συνηθείας,love affairs,bad
single,Mars,γάμους,marriages,good
single,Mars,ἀγαθῶν ἀφαιρέσεις,loss of goods,bad
single,Mars,ψεύσματα,lies,bad
single,Mars,κενὰς ἐλπίδας,vain hopes,bad
single,Mars,βιαίους κλοπάς,violent robbery,bad
single,Mars,λῃστείας,banditry,bad
single,Mars,συλήσεις,looting,bad
single,Mars,διακοπὰς φίλων,quarrels among friends,bad
single,Mars,ὀργήν,anger,bad
single,Mars,μάχην,fighting,bad
single,Mars,λοιδορίαν,verbal abuse,bad
single,Mars,ἔχθρας,hatreds,bad
single,Mars,δίκας,lawsuits,bad
single,Mars,φόνους βιαίους,violent murders,bad
single,Mars,τομὰς,slashings,bad
single,Mars,αἱμαγμούς,bloodshed,bad
single,Mars,πυρετῶν ἐπιφοράς,attacks of fever,bad
single,Mars,ἑλκώσεις,ulcers,bad
single,Mars,ἐξανθήματα,boils,bad
single,Mars,ἐμπρησμούς,burns,bad
single,Mars,δεσμά,chains,bad
single,Mars,βασάνους,torture,bad
single,Mars,ἀρρενόητα,masculinity,good
single,Mars,ἐπιορκίαν,false oaths,bad
single,Mars,πλάνην,wanderings,neutral
single,Mars,πρεσβείας ἐπὶ κακοῖς,embassies under difficult circumstances,bad
single,Mars,διὰ πυρὸς ἤ διὰ σιδήρου πράσσοντας,actions involving fire or iron,neutral
single,Mars,χειροτέχνας,craftwork,good
single,Mars,σκληρουργούς,masonry,good
single,Mars,ἀρχὰς,commands,good
single,Mars,στρατείας,military leadership,good
single,Mars,πολεμάρχας,military campaigns,good
single,Mars,ὁπλιστάς,infantrymen,neutral
single,Mars,ἡγεμονίας,governorships,good
single,Mars,κυνηγεσίας,hunting,neutral
single,Mars,θήρας,wild animals,neutral
single,Mars,πτώσεις ἀπο ὕψους ἢ τετραπόδων,falls from heights or animals,bad
single,Mars,ἐπισκιασμούς,weak vision,bad
single,Mars,ἀποπληξίας,strokes,bad
single,Mars,κεφαλῆς,head,neutral
single,Mars,ἕδρας,bum,neutral
single,Mars,μορίου,genitals,neutral
single,Mars,αἵματος,blood,neutral
single,Mars,σπερματικῶν πόρων,sperm ducts,neutral
single,Mars,χολῆς,bile,neutral
single,Mars,σκυβάλων ἐκκρίσεως,elimination of excrement,neutral
single,Mars,ὀπισθίων μερῶν,back parts,neutral
single,Mars,ἀναποδισμοῦ,back,neutral
single,Mars,ὑπτιασμοῦ,underside,neutral
single,Mars,σκληρὸν,hard,neutral
single,Mars,ἀπότομον,abrupt,bad
single,Mars,σιδήρου,iron,neutral
single,Mars,κόσμου ἱματίων,decoration of clothes,neutral
single,Mars,οἴνου,wine,neutral
single,Mars,ὀσπρίων,beans,neutral
single,Mars,νυκτερινῆς,nocturnal,neutral
single,Mars,ἐρυθρός,red,neutral
single,Mars,πικρός,bitter,neutral
single,Venus,ἐπιθυμίαν,desire,neutral
single,Venus,ἔρως,love affairs,neutral
single,Venus,μητέρα,mother,neutral
single,Venus,τροφόν,nurture,good
single,Venus,ἱερωσύνας,priesthoods,good
single,Venus,γυμνασιαρχίας,school superintendences,good
single,Venus,χρυσοφορίας,high offices with right to wear gold ring,good
single,Venus,στεμματηφορίας,offices with right to crown,good
single,Venus,εὐφροσύνας,cheerfulness,good
single,Venus,φιλίας,friendship,good
single,Venus,ὁμιλίας,companionship,good
single,Venus,ἐπικτήσεις ὑπαρχόντων,acquisition of property,good
single,Venus,ἀγορασμοὺς κόσμου,purchase of ornaments,neutral
single,Venus,συναλλαγὰς ἐπὶ τὸ ἀγαθόν,agreements on favourable terms,good
single,Venus,γάμους,marriages,good
single,Venus,τέχνας καθαρίους,pure trades,good
single,Venus,ἐυφωνίας,fine voices,good
single,Venus,μουσουργίας,taste for music,neutral
single,Venus,ἡδυμελείας,sweet singing,good
single,Venus,εὐμορφίας,beauty,good
single,Venus,ζωγραφίας,painting,good
single,Venus,χρωμάτων κράσεις καὶ ποικιλτικήν πορφυροβαφίαν καὶ μυρεψικήν,"mixing of colours in embroidery, dyeing and unguent making",neutral
single,Venus,τούς τε τούτων προπάτορας καὶ κυρίους,"inventors of embroidery, dyeing, unguent making",good
single,Venus,τούς τε τούτων κυρίους,"masters of embroidery, dyeing, unguent making",good
single,Venus,τέχνας,craftsmanship,good
single,Venus,ἐμπορικὰς,trade,good
single,Venus,ἐργασίας σμαράγδου τε καὶ λιθείας,work in emeralds or precious stones,neutral
single,Venus,ἐλεφαντουργίας,work in ivory,neutral
single,Venus,χρυσονήτας,gold-spinners,neutral
single,Venus,χρυσοκοσμήτας,gold workers,neutral
single,Venus,κουρεῖς,barbers,neutral
single,Venus,φιλοκαθαρίους,people fond of cleanliness,neutral
single,Venus,φιλοπαιγνίους,people fond of toys,neutral
single,Venus,ἀγορανομίας,supervisor of weights and measures,good
single,Venus,ἐμπορίας,markets,neutral
single,Venus,ἐργαστήρια,factories,neutral
single,Venus,δόσεις / λήψεις,giving / receiving,neutral
single,Venus,γέλωτα,laughter,good
single,Venus,ἱλαρίαν,good cheer,good
single,Venus,κόσμον,ornamentation,good
single,Venus,θήρας ἐξ ὑγρῶν,beasts of the sea,neutral
single,Venus,ἐκ βασιλικῶν γυναικῶν ἢ οἰκείων ὠφελείας,favour from royal women or one's female relatives,good
single,Venus,δόξας περιττάς,high rank,good
single,Venus,τραχήλου,neck,neutral
single,Venus,προσώπου,face,neutral
single,Venus,χειλέων,lips,neutral
single,Venus,ὀσφρήσεως,sense of smell,neutral
single,Venus,τῶν ἐμπροσθίων μερῶν ἀπὸ ποδὸς ἕως κεφαλῆς,front parts from head to feet,neutral
single,Venus,συνουσίας μορίων,parts of intercourse,neutral
single,Venus,πνεύμονος,lungs,neutral
single,Venus,ἑτέρας τροφῆς δεκτικὴ καὶ ἡδονῆς,recipient of support and pleasure from others,good
single,Venus,λίθων πολυτίμων,precious stones,neutral
single,Venus,ποικίλου κόσμου,fancy jewellery,neutral
single,Venus,ἐλαίας,olive,neutral
single,Venus,νυκτερινῆς,nocturnal,neutral
single,Venus,λευκή,white,neutral
single,Venus,ἐλλιπωτάτη,very greasy,neutral
single,Mercury,παιδείαν,education,good
single,Mercury,γράμματα,letters,good
single,Mercury,ἔλεγχον,disputation,neutral
single,Mercury,λόγον,reasoning,good
single,Mercury,ἀδελφότητα,brotherhood,good
single,Mercury,ἑρμηνείαν,interpretation,neutral
single,Mercury,κηρυκείαν,embassies,good
single,Mercury,ἀριθμόν,number,neutral
single,Mercury,ψῆφον,accounts,neutral
single,Mercury,γεωμετρίαν,geometry,neutral
single,Mercury,ἐμπορίαν,markets,neutral
single,Mercury,νεότητα,youth,good
single,Mercury,παίγνια,games,neutral
single,Mercury,κλοπήν,theft,bad
single,Mercury,κοινότητα,association,good
single,Mercury,ἀγγελίαν,communication,good
single,Mercury,ὑπηρεσίαν,service,neutral
single,Mercury,κέρδος,gain,good
single,Mercury,εὑρέματα,discoveries,good
single,Mercury,ἀκολουθίαν,obedience,neutral
single,Mercury,ἄθλησιν,sport,neutral
single,Mercury,πάλην,wrestling,neutral
single,Mercury,φωνασκίαν,declamation,neutral
single,Mercury,σφραγίζεσθαι,certification,neutral
single,Mercury,ἐπιστέλλειν,writing letters,neutral
single,Mercury,ἱστάναι,supervision,good
single,Mercury,κρέμασθαι,weighing and measuring,neutral
single,Mercury,δοκιμάζειν,testing coins,neutral
single,Mercury,ἀκούειν,hearing,neutral
single,Mercury,ποικιλεύεσθαι,versatility,neutral
single,Mercury,δοτὴρ διανοίας,giver of forethought,good
single,Mercury,δοτὴρ φρονήσεως,giver of intelligence,good
single,Mercury,ἀδελφῶν,brothers,neutral
single,Mercury,τέκνων νεωτέρων,younger children,neutral
single,Mercury,πάσης ἀγοραίου καὶ τραπεζιτικῆς ποιητής,all business and banking,neutral
single,Mercury,ἱεροτεύκτας,temple builders,neutral
single,Mercury,πλάστας,modellers,neutral
single,Mercury,ἀγαλματογλύφους,sculptors,neutral
single,Mercury,ἰατρούς,doctors,neutral
single,Mercury,γραμματικούς,secretaries,neutral
single,Mercury,νομικούς,lawyers,neutral
single,Mercury,ῥήτορας,orators,neutral
single,Mercury,φιλοσόφους,philosophers,neutral
single,Mercury,ἀρχιτέκτονας,architects,neutral
single,Mercury,μουσικούς,musicians,neutral
single,Mercury,μάντεις,prophets,neutral
single,Mercury,θύτας,diviners,neutral
single,Mercury,ὀρνεοσκόπους,augurs,neutral
single,Mercury,ὀνειροκρίτας,dream interpreters,neutral
single,Mercury,πλοκεῖς,braiders,neutral
single,Mercury,ὑφάντας,weavers,neutral
single,Mercury,μεθοδικοὺς,systematic physicians,neutral
single,Mercury,πολεμικῶν ἢ στρατηγικῶν ἔργων προεστῶτας,those in charge of war or strategy,good
single,Mercury,ἐπιχειροῦντας παράδοξα καὶ μεθοδικὰ διὰ ψήφων,those undertaking unusual systematic work in accounting,neutral
single,Mercury,ἐπιχειροῦντας παράδοξα καὶ μεθοδικὰ διὰ παραλογισμῶν,those undertaking unusual systematic work with reasoning,neutral
single,Mercury,ἰσχυροπαίκτας,weight lifters,neutral
single,Mercury,μιμῳδούς,mimes,neutral
single,Mercury,ἐπιδείξεως τὸν βίον ποριζομένους,those making livelihood with skill,neutral
single,Mercury,πλάνης τὸν βίον ποριζομένους,those making livelihood with deception,bad
single,Mercury,ἀλητείας τὸν βίον ποριζομένους,those making livelihood with gambling,bad
single,Mercury,ἀκαταστασίας τὸν βίον ποριζομένους,those making livelihood with sleight of hand,bad
single,Mercury,οὐρανιών ἴδριας ἤ καὶ ἐρευνητὰς,skilled interpreters of the heavens,good
single,Mercury,εἴδησιν,knowledge,good
single,Mercury,προπωλήν,selling,neutral
single,Mercury,ὑπηρεσίαν,service,neutral
single,Mercury,ἐμπορίαν,trade,good
single,Mercury,διδασκαλίαν,teaching,good
single,Mercury,γεωργίας,farming,neutral
single,Mercury,νεωκορίας,temple service,good
single,Mercury,δημοσίας,public employment,good
single,Mercury,αὐθέντησιν,authority,good
single,Mercury,προμίσθωσιν,rentals,neutral
single,Mercury,ἐργολαβίαν ἐπίδειξιν,labour contracting,neutral
single,Mercury,ῥυθμικὴν,rhythmical performance,neutral
single,Mercury,προεστάναι λειτουργίας,display of public service,neutral
single,Mercury,δορυφορίας,acquisition of attendants,good
single,Mercury,λινοστολίας θεῶν,right of wearing temple linen,good
single,Mercury,ἀνωμάλους,capricious,bad
single,Mercury,πολυπερισπάστους,disturbed,bad
single,Mercury,χειρῶν,hands,neutral
single,Mercury,ὤμων,shoulders,neutral
single,Mercury,δακτύλων,fingers,neutral
single,Mercury,ἄρθρων,joints,neutral
single,Mercury,κοιλίας,belly,neutral
single,Mercury,ἀκοῆς,hearing,neutral
single,Mercury,ἀρτηρίας,arteries,neutral
single,Mercury,ἐντέρων,intestines,neutral
single,Mercury,γλώσσης,tongue,neutral
single,Mercury,χαλκοῦ,copper,neutral
single,Mercury,νομίσματος παντός,all coins,neutral
double,Saturn Jupiter,ὠφελείας ἐκ νεκρικῶν,benefits from legacies,good
double,Saturn Jupiter,εἰσποιήσις,adoptions,good
double,Saturn Jupiter,ἐγγαίων κτημάτων κυρίους,masters of property consisting of land,good
double,Saturn Jupiter,ἐπιτρόπους,guardians,good
double,Saturn Jupiter,ἀλλοτρίων διοικητάς,managers of others' property,good
double,Saturn Jupiter,οἰκονομικούς,stewards,good
double,Saturn Jupiter,φορολόγους,tax gatherers,good
double,Saturn Mars,ἐναντιωμάτων ,reversals,bad
double,Saturn Mars,καθαιρέσων,ruin,bad
double,Saturn Mars,στάσεις οἰκείων,family quarrels,bad
double,Saturn Mars,ἀνευνοησίας,disharmony,bad
double,Saturn Mars,ἔχθρας,hatred,bad
double,Saturn Mars,δόλους,treachery,bad
double,Saturn Mars,ἐπιβουλὰς,plots,bad
double,Saturn Mars,κακοποιίας,malevolence,bad
double,Saturn Mars,κρίσεις,trials,bad
double,Saturn Mars,ἐπισήμους,distinguished,good
double,Saturn Mars,λαμπρὰς,noble,good
double,Saturn Mars,ἀβεβαίους περὶ εὐδαιμονίαν,unsteady in happiness,bad
double,Saturn Mars,ἀπροσδοκήτους κινδύνους,prone to unexpected dangers,bad
double,Saturn Mars,ἀπροσδοκήτους προδοσίας,prone to treachery,bad
double,Saturn Mercury,πρακτικοί,productive,good
double,Saturn Mercury,διαβολὰς ἕνεκεν μυστικῶν,slanders about religion,bad
double,Saturn Mercury,κρίσεις,lawsuits,bad
double,Saturn Mercury,χρεωστίας,debts,bad
double,Saturn Mercury,γραπτῶν χάριν ταραχάς,alarms due to documents,bad
double,Saturn Mercury,ἀργυρικῶν χάριν ταραχάς,alarms due to money,bad
double,Saturn Mercury,οὐκ ἀπόρους,not without resources,good
double,Saturn Mercury,οὐδε ἀσυνέτους,not unintelligent,good
double,Saturn Mercury,πολυπείρους,much experience,good
double,Saturn Mercury,πολυΐστορας,witnesses to much,good
double,Saturn Mercury,προγνωστικούς,with much awareness,good
double,Saturn Mercury,φιλομαθεῖς,curious,good
